Date,AAPL,APX,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM
22-04-2014,0.0010,0.0046,-0.0021,0.0102,0.0051,-0.0019,0.0043,0.0169,0.0219,-0.0006
23-04-2014,-0.0131,0.0007,0.0241,-0.0030,-0.0009,0.0056,0.0009,-0.0001,-0.0144,-0.0022
24-04-2014,0.0820,0.0032,-0.0059,0.0184,-0.0072,-0.0031,0.0009,0.0025,0.0159,-0.0079
25-04-2014,0.0073,-0.0043,-0.0092,-0.0056,-0.0141,-0.0025,-0.0171,-0.0162,-0.0049,-0.0031
28-04-2014,0.0387,0.0003,-0.0126,-0.0041,0.0009,0.0140,-0.0058,-0.0107,0.0100,0.0185
29-04-2014,-0.0030,0.0084,0.0105,0.0100,0.0061,0.0019,0.0111,0.0109,-0.0081,0.0102
30-04-2014,-0.0038,-0.0041,0.0051,0.0009,-0.0022,-0.0036,0.0089,0.0100,-0.0001,0.0070
01-05-2014,0.0024,-0.0070,-0.0043,-0.0031,-0.0043,-0.0046,0.0028,0.0034,-0.0023,-0.0150
02-05-2014,0.0019,0.0013,0.0115,-0.0006,-0.0030,-0.0018,0.0094,-0.0093,0.0009,-0.0108
05-05-2014,0.0141,0.0049,0.0155,-0.0047,0.0007,0.0051,0.0113,-0.0159,-0.0089,-0.0009
06-05-2014,-0.0109,-0.0133,-0.0086,-0.0062,-0.0102,-0.0031,-0.0023,-0.0116,-0.0161,-0.0064
07-05-2014,-0.0035,0.0206,-0.0037,0.0072,0.0066,0.0101,-0.0091,0.0063,-0.0044,-0.0038
08-05-2014,-0.0073,0.0073,0.0017,0.0031,0.0065,-0.0090,0.0163,0.0121,-0.0004,-0.0021
09-05-2014,-0.0042,0.0025,0.0041,0.0011,0.0001,-0.0005,0.0043,-0.0013,0.0086,0.0062
12-05-2014,0.0124,0.0092,0.0114,0.0109,0.0074,0.0017,0.0057,0.0149,0.0072,0.0131
13-05-2014,0.0016,-0.0064,0.0064,0.0089,-0.0142,0.0049,-0.0041,0.0046,-0.0128,-0.0020
14-05-2014,0.0002,-0.0071,-0.0034,-0.0058,-0.0022,0.0045,-0.0141,-0.0052,-0.0124,-0.0181
15-05-2014,-0.0085,-0.0097,-0.0134,-0.0145,0.0601,-0.0206,-0.0095,-0.0176,-0.0009,-0.0120
16-05-2014,0.0148,-0.0011,-0.0030,0.0099,0.0079,-0.0051,0.0030,-0.0013,0.0147,0.0032
